t,S,B,M
10.128000,0.418684,0.738085,0.000225
10.176000,0.418617,0.738153,0.000225
10.224000,0.418551,0.738219,0.000226
10.272000,0.418486,0.738284,0.000226
10.320000,0.418423,0.738347,0.000226
10.368000,0.418362,0.738409,0.000226
10.416000,0.418302,0.738469,0.000226
10.464000,0.418244,0.738527,0.000226
10.512000,0.418188,0.738585,0.000226
10.560000,0.418132,0.738640,0.000226
10.608000,0.418078,0.738695,0.000226
10.656000,0.418026,0.738748,0.000227
10.704000,0.417974,0.738799,0.000227
10.752000,0.417924,0.738850,0.000227
10.800000,0.417875,0.738899,0.000227
10.848000,0.417828,0.738947,0.000227
10.896000,0.417781,0.738994,0.000227
10.944000,0.417735,0.739039,0.000227
10.992000,0.417691,0.739084,0.000227
11.040000,0.417648,0.739127,0.000227
11.088000,0.417606,0.739169,0.000227
11.136000,0.417565,0.739210,0.000227
11.184000,0.417525,0.739251,0.000227
11.232000,0.417486,0.739290,0.000227
11.280000,0.417448,0.739328,0.000228
11.328000,0.417411,0.739366,0.000228
11.376000,0.417374,0.739402,0.000228
11.424000,0.417339,0.739438,0.000228
11.472000,0.417305,0.739472,0.000228
11.520000,0.417271,0.739506,0.000228
11.568000,0.417238,0.739539,0.000228
11.616000,0.417207,0.739571,0.000228
11.664000,0.417175,0.739603,0.000228
11.712000,0.417145,0.739633,0.000228
11.760000,0.417115,0.739663,0.000228
11.808000,0.417086,0.739692,0.000228
11.856000,0.417058,0.739720,0.000228
11.904000,0.417030,0.739748,0.000228
11.952000,0.417003,0.739775,0.000228
12.000000,0.416977,0.739801,0.000228
12.048000,0.416952,0.739827,0.000228
12.096000,0.416927,0.739852,0.000228
12.144000,0.416902,0.739876,0.000228
12.192000,0.416879,0.739900,0.000229
12.240000,0.416856,0.739923,0.000229
12.288000,0.416833,0.739946,0.000229
12.336000,0.416811,0.739968,0.000229
12.384000,0.416790,0.739990,0.000229
12.432000,0.416769,0.740011,0.000229
12.480000,0.416749,0.740031,0.000229
12.528000,0.416729,0.740052,0.000229
12.576000,0.416710,0.740071,0.000229
12.624000,0.416691,0.740090,0.000229
12.672000,0.416672,0.740109,0.000229
12.720000,0.416654,0.740127,0.000229
12.768000,0.416636,0.740144,0.000229
12.816000,0.416619,0.740161,0.000229
12.864000,0.416602,0.740178,0.000229
12.912000,0.416586,0.740194,0.000229
12.960000,0.416570,0.740210,0.000229
13.008000,0.416554,0.740226,0.000229
