t,S,B,M
29.664000,0.000007,0.312446,0.950310
29.712000,0.000006,0.312277,0.950357
29.760000,0.000006,0.312122,0.950398
29.808000,0.000005,0.311979,0.950436
29.856000,0.000005,0.311848,0.950469
29.904000,0.000005,0.311728,0.950498
29.952000,0.000004,0.311618,0.950524
30.000000,0.000004,0.311517,0.950547
30.048000,0.000004,0.311425,0.950568
30.096000,0.000004,0.311340,0.950586
30.144000,0.000003,0.311263,0.950602
30.192000,0.000003,0.311192,0.950617
30.240000,0.000003,0.311127,0.950629
30.288000,0.000003,0.311067,0.950640
30.336000,0.000003,0.311013,0.950650
30.384000,0.000003,0.310963,0.950659
30.432000,0.000003,0.310918,0.950666
30.480000,0.000002,0.310876,0.950673
30.528000,0.000002,0.310838,0.950679
30.576000,0.000002,0.310803,0.950684
30.624000,0.000002,0.310772,0.950688
30.672000,0.000002,0.310743,0.950692
30.720000,0.000002,0.310716,0.950695
30.768000,0.000002,0.310692,0.950698
30.816000,0.000002,0.310670,0.950700
30.864000,0.000002,0.310650,0.950702
30.912000,0.000002,0.310632,0.950704
30.960000,0.000002,0.310615,0.950706
31.008000,0.000002,0.310600,0.950707
31.056000,0.000002,0.310586,0.950708
31.104000,0.000002,0.310573,0.950709
31.152000,0.000002,0.310562,0.950710
31.200000,0.000002,0.310551,0.950710
31.248000,0.000002,0.310542,0.950711
31.296000,0.000002,0.310533,0.950711
31.344000,0.000002,0.310525,0.950711
31.392000,0.000002,0.310518,0.950712
31.440000,0.000002,0.310512,0.950712
31.488000,0.000002,0.310506,0.950712
31.536000,0.000002,0.310501,0.950712
31.584000,0.000002,0.310496,0.950712
31.632000,0.000002,0.310491,0.950712
31.680000,0.000002,0.310487,0.950712
31.728000,0.000002,0.310484,0.950712
31.776000,0.000002,0.310480,0.950712
31.824000,0.000002,0.310477,0.950712
31.872000,0.000002,0.310474,0.950711
31.920000,0.000002,0.310472,0.950711
31.968000,0.000002,0.310470,0.950711
32.016000,0.000002,0.310468,0.950711
32.064000,0.000002,0.310466,0.950711
32.112000,0.000002,0.310464,0.950711
32.160000,0.000002,0.310463,0.950711
32.208000,0.000002,0.310461,0.950711
32.256000,0.000002,0.310460,0.950711
32.304000,0.000002,0.310459,0.950710
32.352000,0.000002,0.310458,0.950710
32.400000,0.000002,0.310457,0.950710
32.448000,0.000001,0.310456,0.950710
32.496000,0.000001,0.310455,0.950710
32.544000,0.000001,0.310455,0.950710
32.592000,0.000001,0.310454,0.950710
